DATE,CPHPTT01EZA661N
1990-01-01,58.9691944725312
1991-01-01,61.5139871924503
1992-01-01,63.8333670374115
1993-01-01,65.9925851027974
1994-01-01,67.8611391978429
1995-01-01,69.5932591843613
1996-01-01,71.23
1997-01-01,72.44
1998-01-01,73.33
1999-01-01,74.19
2000-01-01,75.81
2001-01-01,77.64
2002-01-01,79.4
2003-01-01,81.08
2004-01-01,82.85
2005-01-01,84.67
2006-01-01,86.53
2007-01-01,88.41
2008-01-01,91.37
2009-01-01,91.65
2010-01-01,93.13
2011-01-01,95.67
2012-01-01,98.06
2013-01-01,99.38
2014-01-01,99.81
2015-01-01,100.0
2016-01-01,100.23
2017-01-01,101.78
2018-01-01,103.56
2019-01-01,104.8
2020-01-01,105.06
2021-01-01,107.78
